lat_matched,lon_matched,Roughness
,,NOT MEASURED
,,NOT MEASURED
,,GOOD
50.135809,8.671584,GOOD
50.136289,8.671487,NOT MEASURED
50.136683,8.671385,NOT MEASURED
50.137037,8.671224,NOT MEASURED
50.137233,8.671126,NOT MEASURED
50.137631,8.670942,NOT MEASURED
50.137906,8.670793,NOT MEASURED
50.138077,8.670695,NOT MEASURED
50.138251,8.670609,GOOD
50.138547,8.67053,GOOD
50.138866,8.670493,GOOD
50.139245,8.670406,GOOD
50.13969,8.670198,GOOD
50.140264,8.669873,VERY GOOD
50.140883,8.669524,VERY GOOD
50.14142,8.669236,VERY GOOD
50.141813,8.669048,FAIR
50.142174,8.668924,FAIR
50.142667,8.668886,NOT MEASURED
50.143042,8.668865,NOT MEASURED
50.143223,8.66884,GOOD
50.143413,8.668804,GOOD
50.14382,8.66867,FAIR
50.144189,8.66849,FAIR
50.144788,8.668257,VERY GOOD
50.145386,8.667946,VERY GOOD
50.145968,8.667677,NOT MEASURED
50.146525,8.667424,NOT MEASURED
50.14704,8.667173,NOT MEASURED
50.147363,8.66696,VERY POOR
50.147551,8.666831,VERY POOR
50.147894,8.66653,VERY POOR
50.148289,8.666098,VERY POOR
