"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"08:33:05 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0005","50.12969589","8.67326259","0","50.13232266","8.67244","0","298.04","CAR HARD SUSPENSION","false","0","0.05","","NOT MEASURED",
"08:33:08 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0006","50.13354605","8.67205688","0","50.13540487","8.67137041","86.26092529","212.51","CAR HARD SUSPENSION","false","0.16","0.03","","NOT MEASURED",
"08:33:21 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0007","50.13540487","8.67137041","86.26092529","50.13637441","8.67148203","123.13693572","108.14","CAR HARD SUSPENSION","false","38.85","0.04","2.58","GOOD",
"08:34:00 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0008","50.13637441","8.67148203","123.13693572","50.13723263","8.67112522","123.1497307","98.81","CAR HARD SUSPENSION","true","11.71","0.03","","NOT MEASURED",
"08:34:24 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0009","50.13723263","8.67112522","123.1497307","50.1380971","8.67071869","123.71075643","100.45","CAR HARD SUSPENSION","true","14.81","0.02","","NOT MEASURED",
"08:34:44 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0010","50.1380971","8.67071869","123.71075643","50.13830981","8.67058413","124.95649274","25.54","CAR HARD SUSPENSION","true","1.98","0.02","","NOT MEASURED",
"08:34:58 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0011","50.13830981","8.67058413","124.95649274","50.13924541","8.67040473","125.0155071","104.86","CAR HARD SUSPENSION","true","24.27","0.05","2.89","GOOD",
"08:35:07 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0012","50.13924541","8.67040473","125.0155071","50.1401412","8.66993939","124.12099193","105.05","CAR HARD SUSPENSION","true","36.98","0.04","2.13","GOOD",
"08:35:14 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0013","50.1401412","8.66993939","124.12099193","50.14100035","8.66945365","124.8532409","101.68","CAR HARD SUSPENSION","true","51.13","0.03","0.9","VERY GOOD",
"08:35:24 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0014","50.14100035","8.66945365","124.8532409","50.14186354","8.6690185","124.27159707","100.93","CAR HARD SUSPENSION","true","40.06","0.03","1.37","VERY GOOD",
"08:35:35 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0015","50.14186354","8.6690185","124.27159707","50.14283337","8.6688725","124.39493709","108.38","CAR HARD SUSPENSION","false","34.19","0.06","4.27","FAIR",
"08:36:25 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0016","50.14283337","8.6688725","124.39493709","50.14330397","8.6688241","124.07793121","52.46","CAR HARD SUSPENSION","false","4.74","0.02","","NOT MEASURED",
"08:36:36 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0017","50.14330397","8.6688241","124.07793121","50.14418957","8.66849467","125.06105152","101.28","CAR HARD SUSPENSION","false","31.6","0.06","3.99","GOOD",
"08:36:45 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0018","50.14418957","8.66849467","125.06105152","50.14515266","8.66809116","125.19744897","110.94","CAR HARD SUSPENSION","false","42.9","0.08","5.02","FAIR",
"08:36:53 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0019","50.14515266","8.66809116","125.19744897","50.14609713","8.66764064","124.22248559","109.88","CAR HARD SUSPENSION","false","49.35","0.03","1.65","VERY GOOD",
"08:36:58 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0020","50.14609713","8.66764064","124.22248559","50.14663393","8.66737992","123.2469644","62.55","CAR HARD SUSPENSION","true","45.57","0.11","","NOT MEASURED",
"08:37:00 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0021","50.14685285","8.66727185","123.10087763","50.14685285","8.66727185","123.10087763","0","CAR HARD SUSPENSION","false","43.74","0.26","","NOT MEASURED",
"08:37:44 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0022","50.14694011","8.66721962","122.96242964","50.14754373","8.66680567","123.27138688","73.37","CAR HARD SUSPENSION","false","5.9","0.12","","NOT MEASURED",
"08:37:55 2025-November-17","f","Paved","100","1","er","rr","tt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0023","50.14754373","8.66680567","123.27138688","50.14836076","8.66602712","120.91594591","106.57","CAR HARD SUSPENSION","false","31.74","0.32","19.15","VERY POOR",
