index,lat,lon
0,50.146918,8.668232
1,50.146787,8.668284
2,50.146728,8.667951
3,50.146648,8.667478
4,50.14663,8.667376
5,50.146878,8.667265
6,50.146927,8.667243
7,50.147034,8.667177
8,50.147114,8.667128
9,50.147193,8.667078
10,50.147591,8.666803
11,50.147854,8.666569
12,50.147942,8.666483
13,50.147991,8.666432
14,50.148068,8.666348
15,50.148191,8.666209
16,50.148476,8.665885
17,50.149054,8.66527
18,50.149075,8.665248
19,50.149095,8.665226
20,50.149413,8.66484
21,50.149792,8.664442
22,50.149854,8.664377
23,50.150334,8.66385
24,50.150438,8.663748
25,50.150506,8.663678
26,50.150604,8.663589
27,50.150629,8.663564
28,50.150657,8.663536
29,50.151087,8.663145
30,50.151632,8.662674
31,50.151902,8.662425
32,50.151987,8.662345
33,50.152012,8.662321
34,50.152037,8.662297
35,50.15221,8.662111
36,50.152692,8.661564
37,50.152953,8.661254
38,50.152985,8.661216
39,50.152996,8.661202
40,50.153045,8.661136
41,50.153102,8.66106
42,50.153224,8.660902
43,50.153365,8.660731
44,50.153467,8.66064
45,50.153636,8.660479
46,50.153825,8.660274
47,50.153964,8.660132
48,50.154072,8.660005
49,50.154103,8.659967
50,50.154124,8.659943
51,50.154227,8.659808
52,50.155057,8.658852
53,50.15564,8.658249
54,50.155661,8.658226
55,50.155964,8.657899
56,50.155994,8.657866
57,50.156138,8.657699
58,50.156138,8.657699
